"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"106","Latvia","LVA","athens-2004",TRUE,2264000,4,0,0,0,0,0,4,4,4
"107","Lebanon","LBN","athens-2004",TRUE,4599000,0,0,0,0,0,0,0,0,0
"108","Lesotho","LSO","athens-2004",TRUE,1971000,0,0,0,0,0,0,0,0,0
"109","Liberia","LBR","athens-2004",TRUE,3157000,0,0,0,0,0,0,0,0,0
"110","Libya","LBY","athens-2004",TRUE,5737000,0,0,0,0,0,0,0,0,0
"111","Liechtenstein","LIE","athens-2004",TRUE,34000,0,0,0,0,0,0,0,0,0
"112","Lithuania","LTU","athens-2004",TRUE,3377000,3,0,0,0,0,0,3,3,3
"113","Luxembourg","LUX","athens-2004",TRUE,458000,0,0,0,0,0,0,0,0,0
"114","Madagascar","MDG","athens-2004",TRUE,18607000,0,0,0,0,0,0,0,0,0
"115","Malawi","MWI","athens-2004",TRUE,12501000,0,0,0,0,0,0,0,0,0
"116","Malaysia","MYS","athens-2004",TRUE,25257000,0,0,0,0,0,0,0,0,0
"117","Maldives","MDV","athens-2004",TRUE,301000,0,0,0,0,0,0,0,0,0
"118","Mali","MLI","athens-2004",TRUE,13102000,0,0,0,0,0,0,0,0,0
"119","Malta","MLT","athens-2004",TRUE,411000,0,0,0,0,0,0,0,0,0
"120","Marshall Islands","MHL","athens-2004",FALSE,52000,0,0,0,0,0,0,0,0,0
"121","Mauritania","MRT","athens-2004",TRUE,2869000,0,0,0,0,0,0,0,0,0
"122","Mauritius","MUS","athens-2004",TRUE,1250000,0,0,0,0,0,0,0,0,0
"123","Mexico","MEX","athens-2004",TRUE,104394000,4,0,0,0,0,0,4,4,4
"124","Federated States of Micronesia","FSM","athens-2004",TRUE,112000,0,0,0,0,0,0,0,0,0
"125","Moldova","MDA","athens-2004",TRUE,4047000,0,0,0,0,0,0,0,0,0
"126","Monaco","MCO","athens-2004",TRUE,32000,0,0,0,0,0,0,0,0,0
"127","Mongolia","MNG","athens-2004",TRUE,2543000,1,0,0,0,0,0,1,1,1
"128","Montenegro","MNE","athens-2004",FALSE,634000,0,0,0,0,0,0,0,0,0
"129","Morocco","MAR","athens-2004",TRUE,29953000,1,1,0,0,0,0,1,3,2
"130","Mozambique","MOZ","athens-2004",TRUE,19840000,0,0,0,0,0,0,0,0,0
"131","Myanmar","MMR","athens-2004",TRUE,47069000,0,0,0,0,0,0,0,0,0
"132","Namibia","NAM","athens-2004",TRUE,1942000,0,0,0,0,0,0,0,0,0
"133","Nauru","NRU","athens-2004",TRUE,10000,0,0,0,0,0,0,0,0,0
"134","Nepal","NPL","athens-2004",TRUE,26017000,0,0,0,0,0,0,0,0,0
"135","Netherlands","NLD","athens-2004",TRUE,16426000,8,2,1,0,0,7,15,22,18
"136","New Zealand","NZL","athens-2004",TRUE,4084000,4,0,0,0,0,1,5,5,5
"137","Nicaragua","NIC","athens-2004",TRUE,5273000,0,0,0,0,0,0,0,0,0
"138","Niger","NER","athens-2004",TRUE,13266000,0,0,0,0,0,0,0,0,0
"139","Nigeria","NGA","athens-2004",TRUE,141057000,0,0,0,0,0,2,2,2,2
"140","North Macedonia","MKD","athens-2004",TRUE,2087000,0,0,0,0,0,0,0,0,0
"141","Norway","NOR","athens-2004",TRUE,4592000,5,0,0,0,0,1,6,6,6
"142","Oman","OMN","athens-2004",TRUE,2405000,0,0,0,0,0,0,0,0,0
"143","Pakistan","PAK","athens-2004",TRUE,171286000,0,0,0,0,0,0,0,0,0
"144","Palau","PLW","athens-2004",TRUE,20000,0,0,0,0,0,0,0,0,0
"145","Palestine","PSE","athens-2004",TRUE,3475000,0,0,0,0,0,0,0,0,0
"146","Panama","PAN","athens-2004",TRUE,3251000,0,0,0,0,0,0,0,0,0
"147","Papua New Guinea","PNG","athens-2004",TRUE,6328000,0,0,0,0,0,0,0,0,0
"148","Paraguay","PRY","athens-2004",TRUE,5388000,0,0,0,0,0,1,1,1,1
"149","Peru","PER","athens-2004",TRUE,27852000,0,0,0,0,0,0,0,0,0
"150","Philippines","PHL","athens-2004",TRUE,86395000,0,0,0,0,0,0,0,0,0
"151","Poland","POL","athens-2004",TRUE,38168000,5,0,1,0,0,2,7,10,8
"152","Portugal","PRT","athens-2004",TRUE,10481000,3,0,0,0,0,0,3,3,3
"153","Puerto Rico","PRI","athens-2004",TRUE,3799000,0,0,0,0,0,0,0,0,0
"154","Qatar","QAT","athens-2004",TRUE,773000,0,0,0,0,0,0,0,0,0
"155","Romania","ROU","athens-2004",TRUE,21403000,10,2,0,0,0,5,15,19,17
"156","Russia","RUS","athens-2004",TRUE,145180000,63,4,0,0,0,19,82,90,86
"157","Rwanda","RWA","athens-2004",TRUE,8817000,0,0,0,0,0,0,0,0,0
"158","Saint Kitts and Nevis","KNA","athens-2004",TRUE,46000,0,0,0,0,0,0,0,0,0
"159","Saint Lucia","LCA","athens-2004",TRUE,164000,0,0,0,0,0,0,0,0,0
"160","Saint Vincent and the Grenadines","VCT","athens-2004",TRUE,113000,0,0,0,0,0,0,0,0,0
"161","Samoa","WSM","athens-2004",TRUE,186000,0,0,0,0,0,0,0,0,0
"162","San Marino","SMR","athens-2004",TRUE,28000,0,0,0,0,0,0,0,0,0
"163","São Tomé and Príncipe","STP","athens-2004",TRUE,158000,0,0,0,0,0,0,0,0,0
"164","Saudi Arabia","SAU","athens-2004",TRUE,19669000,0,0,0,0,0,0,0,0,0
"165","Senegal","SEN","athens-2004",TRUE,10976000,0,0,0,0,0,0,0,0,0
"166","Serbia","SRB","athens-2004",TRUE,7566000,1,0,0,0,0,1,2,2,2
"167","Seychelles","SYC","athens-2004",TRUE,88000,0,0,0,0,0,0,0,0,0
"168","Sierra Leone","SLE","athens-2004",TRUE,5356000,0,0,0,0,0,0,0,0,0
"169","Singapore","SGP","athens-2004",TRUE,4173000,0,0,0,0,0,0,0,0,0
"170","Slovakia","SVK","athens-2004",TRUE,5376000,4,0,0,0,0,2,6,6,6
"171","Slovenia","SVN","athens-2004",TRUE,1994000,3,0,0,0,0,1,4,4,4
"172","Solomon Islands","SLB","athens-2004",TRUE,475000,0,0,0,0,0,0,0,0,0
"173","Somalia","SOM","athens-2004",TRUE,10281000,0,0,0,0,0,0,0,0,0
"174","South Africa","ZAF","athens-2004",TRUE,48991000,2,1,0,0,0,2,4,6,5
"175","Spain","ESP","athens-2004",TRUE,43235000,12,1,0,0,0,6,18,20,19
"176","Sri Lanka","LKA","athens-2004",TRUE,20088000,0,0,0,0,0,0,0,0,0
"177","Sudan","SDN","athens-2004",TRUE,30557000,0,0,0,0,0,0,0,0,0
"178","South Sudan","SSD","athens-2004",FALSE,7233000,0,0,0,0,0,0,0,0,0
"179","Suriname","SUR","athens-2004",TRUE,514000,0,0,0,0,0,0,0,0,0
"180","Sweden","SWE","athens-2004",TRUE,8994000,4,0,0,0,0,3,7,7,7
"181","Switzerland","CHE","athens-2004",TRUE,7384000,3,0,0,0,0,2,5,5,5
"182","Syria","SYR","athens-2004",TRUE,18337000,1,0,0,0,0,0,1,1,1
"183","Tajikistan","TJK","athens-2004",TRUE,6791000,0,0,0,0,0,0,0,0,0
"184","Tanzania","TZA","athens-2004",TRUE,38110000,0,0,0,0,0,0,0,0,0
"185","Thailand","THA","athens-2004",TRUE,65452000,8,0,0,0,0,0,8,8,8
"186","East Timor","TLS","athens-2004",TRUE,929000,0,0,0,0,0,0,0,0,0
"187","Togo","TGO","athens-2004",TRUE,5697000,0,0,0,0,0,0,0,0,0
"188","Tonga","TON","athens-2004",TRUE,105000,0,0,0,0,0,0,0,0,0
"189","Trinidad and Tobago","TTO","athens-2004",TRUE,1345000,1,0,0,0,0,0,1,1,1
"190","Tunisia","TUN","athens-2004",TRUE,10166000,0,0,0,0,0,0,0,0,0
"191","Turkey","TUR","athens-2004",TRUE,68593000,10,0,0,0,0,0,10,10,10
"192","Turkmenistan","TKM","athens-2004",TRUE,4958000,0,0,0,0,0,0,0,0,0
"193","Tuvalu","TUV","athens-2004",FALSE,10000,0,0,0,0,0,0,0,0,0
"194","Uganda","UGA","athens-2004",TRUE,27155000,0,0,0,0,0,0,0,0,0
"195","Ukraine","UKR","athens-2004",TRUE,47980000,14,1,0,0,0,6,20,22,21
"196","United Arab Emirates","ARE","athens-2004",TRUE,4429000,1,0,0,0,0,0,1,1,1
"197","United States","USA","athens-2004",TRUE,292786000,53,8,0,0,1,27,80,101,89
"198","Uruguay","URY","athens-2004",TRUE,3283000,0,0,0,0,0,0,0,0,0
"199","Uzbekistan","UZB","athens-2004",TRUE,26029000,5,0,0,0,0,0,5,5,5
"200","Vanuatu","VUT","athens-2004",TRUE,206000,0,0,0,0,0,0,0,0,0
"201","Venezuela","VEN","athens-2004",TRUE,26341000,2,0,0,0,0,0,2,2,2
"202","Vietnam","VNM","athens-2004",TRUE,80339000,0,0,0,0,0,0,0,0,0
"203","Virgin Islands","VIR","athens-2004",TRUE,108000,0,0,0,0,0,0,0,0,0
"204","Yemen","YEM","athens-2004",TRUE,22095000,0,0,0,0,0,0,0,0,0
"205","Zambia","ZMB","athens-2004",TRUE,11338000,0,0,0,0,0,0,0,0,0
"206","Zimbabwe","ZWE","athens-2004",TRUE,12366000,0,0,1,0,0,0,0,3,1
