"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"132","Namibia","NAM","beijing-2008",TRUE,2047000,0,0,0,0,0,0,0,0,0
"133","Nauru","NRU","beijing-2008",TRUE,10000,0,0,0,0,0,0,0,0,0
"134","Nepal","NPL","beijing-2008",TRUE,26990000,0,0,0,0,0,0,0,0,0
"135","Netherlands","NLD","beijing-2008",TRUE,16597000,8,0,0,0,0,8,16,16,16
"136","New Zealand","NZL","beijing-2008",TRUE,4262000,6,0,0,0,0,3,9,9,9
"137","Nicaragua","NIC","beijing-2008",TRUE,5577000,0,0,0,0,0,0,0,0,0
"138","Niger","NER","beijing-2008",TRUE,15362000,0,0,0,0,0,0,0,0,0
"139","Nigeria","NGA","beijing-2008",TRUE,157595000,3,0,0,0,0,2,5,5,5
"140","North Macedonia","MKD","beijing-2008",TRUE,2071000,0,0,0,0,0,0,0,0,0
"141","Norway","NOR","beijing-2008",TRUE,4768000,8,0,0,0,0,1,9,9,9
"142","Oman","OMN","beijing-2008",TRUE,2627000,0,0,0,0,0,0,0,0,0
"143","Pakistan","PAK","beijing-2008",TRUE,189499000,0,0,0,0,0,0,0,0,0
"144","Palau","PLW","beijing-2008",TRUE,19000,0,0,0,0,0,0,0,0,0
"145","Palestine","PSE","beijing-2008",TRUE,3829000,0,0,0,0,0,0,0,0,0
"146","Panama","PAN","beijing-2008",TRUE,3501000,1,0,0,0,0,0,1,1,1
"147","Papua New Guinea","PNG","beijing-2008",TRUE,7183000,0,0,0,0,0,0,0,0,0
"148","Paraguay","PRY","beijing-2008",TRUE,5614000,0,0,0,0,0,0,0,0,0
"149","Peru","PER","beijing-2008",TRUE,28719000,0,0,0,0,0,0,0,0,0
"150","Philippines","PHL","beijing-2008",TRUE,92699000,0,0,0,0,0,0,0,0,0
"151","Poland","POL","beijing-2008",TRUE,37996000,7,0,0,0,0,4,11,11,11
"152","Portugal","PRT","beijing-2008",TRUE,10564000,2,0,0,0,0,0,2,2,2
"153","Puerto Rico","PRI","beijing-2008",TRUE,3749000,0,0,0,0,0,0,0,0,0
"154","Qatar","QAT","beijing-2008",TRUE,1427000,0,0,0,0,0,0,0,0,0
"155","Romania","ROU","beijing-2008",TRUE,20719000,6,0,0,0,0,3,9,9,9
"156","Russia","RUS","beijing-2008",TRUE,143812000,42,2,0,0,0,14,56,60,58
"157","Rwanda","RWA","beijing-2008",TRUE,9804000,0,0,0,0,0,0,0,0,0
"158","Saint Kitts and Nevis","KNA","beijing-2008",TRUE,47000,0,0,0,0,0,0,0,0,0
"159","Saint Lucia","LCA","beijing-2008",TRUE,169000,0,0,0,0,0,0,0,0,0
"160","Saint Vincent and the Grenadines","VCT","beijing-2008",TRUE,111000,0,0,0,0,0,0,0,0,0
"161","Samoa","WSM","beijing-2008",TRUE,190000,1,0,0,0,0,0,1,1,1
"162","San Marino","SMR","beijing-2008",TRUE,30000,0,0,0,0,0,0,0,0,0
"163","São Tomé and Príncipe","STP","beijing-2008",TRUE,174000,0,0,0,0,0,0,0,0,0
"164","Saudi Arabia","SAU","beijing-2008",TRUE,23288000,0,0,0,0,0,0,0,0,0
"165","Senegal","SEN","beijing-2008",TRUE,12049000,0,0,0,0,0,0,0,0,0
"166","Serbia","SRB","beijing-2008",TRUE,7454000,2,0,0,0,0,1,3,3,3
"167","Seychelles","SYC","beijing-2008",TRUE,93000,0,0,0,0,0,0,0,0,0
"168","Sierra Leone","SLE","beijing-2008",TRUE,5895000,0,0,0,0,0,0,0,0,0
"169","Singapore","SGP","beijing-2008",TRUE,4807000,0,0,0,0,0,1,1,1,1
"170","Slovakia","SVK","beijing-2008",TRUE,5379000,4,0,0,0,0,2,6,6,6
"171","Slovenia","SVN","beijing-2008",TRUE,2025000,5,0,0,0,0,0,5,5,5
"172","Solomon Islands","SLB","beijing-2008",TRUE,509000,0,0,0,0,0,0,0,0,0
"173","Somalia","SOM","beijing-2008",TRUE,11663000,0,0,0,0,0,0,0,0,0
"174","South Africa","ZAF","beijing-2008",TRUE,51115000,1,0,0,0,0,0,1,1,1
"175","Spain","ESP","beijing-2008",TRUE,46235000,7,1,0,0,0,10,17,19,18
"176","Sri Lanka","LKA","beijing-2008",TRUE,20629000,0,0,0,0,0,0,0,0,0
"177","Sudan","SDN","beijing-2008",TRUE,33624000,1,0,0,0,0,0,1,1,1
"178","South Sudan","SSD","beijing-2008",FALSE,8818000,0,0,0,0,0,0,0,0,0
"179","Suriname","SUR","beijing-2008",TRUE,537000,0,0,0,0,0,0,0,0,0
"180","Sweden","SWE","beijing-2008",TRUE,9220000,3,0,0,0,0,2,5,5,5
"181","Switzerland","CHE","beijing-2008",TRUE,7642000,3,1,0,0,0,2,5,7,6
"182","Syria","SYR","beijing-2008",TRUE,21637000,0,0,0,0,0,0,0,0,0
"183","Tajikistan","TJK","beijing-2008",TRUE,7338000,2,0,0,0,0,0,2,2,2
"184","Tanzania","TZA","beijing-2008",TRUE,42571000,0,0,0,0,0,0,0,0,0
"185","Thailand","THA","beijing-2008",TRUE,67620000,6,0,0,0,0,0,6,6,6
"186","East Timor","TLS","beijing-2008",TRUE,1032000,0,0,0,0,0,0,0,0,0
"187","Togo","TGO","beijing-2008",TRUE,6369000,1,0,0,0,0,0,1,1,1
"188","Tonga","TON","beijing-2008",TRUE,107000,0,0,0,0,0,0,0,0,0
"189","Trinidad and Tobago","TTO","beijing-2008",TRUE,1372000,1,0,0,0,0,1,2,2,2
"190","Tunisia","TUN","beijing-2008",TRUE,10543000,1,0,0,0,0,0,1,1,1
"191","Turkey","TUR","beijing-2008",TRUE,71562000,5,0,0,0,0,0,5,5,5
"192","Turkmenistan","TKM","beijing-2008",TRUE,5345000,0,0,0,0,0,0,0,0,0
"193","Tuvalu","TUV","beijing-2008",TRUE,10000,0,0,0,0,0,0,0,0,0
"194","Uganda","UGA","beijing-2008",TRUE,30540000,0,0,0,0,0,0,0,0,0
"195","Ukraine","UKR","beijing-2008",TRUE,46819000,20,0,0,0,0,2,22,22,22
"196","United Arab Emirates","ARE","beijing-2008",TRUE,6303000,0,0,0,0,0,0,0,0,0
"197","United States","USA","beijing-2008",TRUE,304970000,55,5,3,1,1,29,84,112,94
"198","Uruguay","URY","beijing-2008",TRUE,3302000,0,0,0,0,0,0,0,0,0
"199","Uzbekistan","UZB","beijing-2008",TRUE,27495000,4,0,0,0,0,0,4,4,4
"200","Vanuatu","VUT","beijing-2008",TRUE,227000,0,0,0,0,0,0,0,0,0
"201","Venezuela","VEN","beijing-2008",TRUE,28054000,1,0,0,0,0,0,1,1,1
"202","Vietnam","VNM","beijing-2008",TRUE,85176000,1,0,0,0,0,0,1,1,1
"203","Virgin Islands","VIR","beijing-2008",TRUE,107000,0,0,0,0,0,0,0,0,0
"204","Yemen","YEM","beijing-2008",TRUE,25112000,0,0,0,0,0,0,0,0,0
"205","Zambia","ZMB","beijing-2008",TRUE,13021000,0,0,0,0,0,0,0,0,0
"206","Zimbabwe","ZWE","beijing-2008",TRUE,12959000,0,0,0,1,0,0,0,4,1
