"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"93","Italy","ITA","tokyo-2020",TRUE,59729000,26,1,0,0,0,12,38,40,39
"94","Jamaica","JAM","tokyo-2020",TRUE,2838000,5,1,0,0,0,2,7,9,8
"95","Japan","JPN","tokyo-2020",TRUE,125679000,43,2,0,0,0,11,54,58,56
"96","Jordan","JOR","tokyo-2020",TRUE,11066000,2,0,0,0,0,0,2,2,2
"97","Kazakhstan","KAZ","tokyo-2020",TRUE,19744000,8,0,0,0,0,0,8,8,8
"98","Kenya","KEN","tokyo-2020",TRUE,53219000,10,0,0,0,0,0,10,10,10
"99","Kiribati","KIR","tokyo-2020",TRUE,128000,0,0,0,0,0,0,0,0,0
"100","North Korea","PRK","tokyo-2020",FALSE,26233000,0,0,0,0,0,0,0,0,0
"101","South Korea","KOR","tokyo-2020",TRUE,51848000,12,0,0,0,0,8,20,20,20
"102","Kosovo","XKX","tokyo-2020",TRUE,1741000,2,0,0,0,0,0,2,2,2
"103","Kuwait","KWT","tokyo-2020",TRUE,4361000,1,0,0,0,0,0,1,1,1
"104","Kyrgyzstan","KGZ","tokyo-2020",TRUE,6820000,3,0,0,0,0,0,3,3,3
"105","Laos","LAO","tokyo-2020",TRUE,7453000,0,0,0,0,0,0,0,0,0
"106","Latvia","LVA","tokyo-2020",TRUE,1886000,1,0,0,0,0,1,2,2,2
"107","Lebanon","LBN","tokyo-2020",TRUE,5718000,0,0,0,0,0,0,0,0,0
"108","Lesotho","LSO","tokyo-2020",TRUE,2262000,0,0,0,0,0,0,0,0,0
"109","Liberia","LBR","tokyo-2020",TRUE,5259000,0,0,0,0,0,0,0,0,0
"110","Libya","LBY","tokyo-2020",TRUE,7135000,0,0,0,0,0,0,0,0,0
"111","Liechtenstein","LIE","tokyo-2020",TRUE,39000,0,0,0,0,0,0,0,0,0
"112","Lithuania","LTU","tokyo-2020",TRUE,2794000,1,0,0,0,0,0,1,1,1
"113","Luxembourg","LUX","tokyo-2020",TRUE,640000,0,0,0,0,0,0,0,0,0
"114","Madagascar","MDG","tokyo-2020",TRUE,29691000,0,0,0,0,0,0,0,0,0
"115","Malawi","MWI","tokyo-2020",TRUE,20047000,0,0,0,0,0,0,0,0,0
"116","Malaysia","MYS","tokyo-2020",TRUE,34282000,1,0,0,0,0,1,2,2,2
"117","Maldives","MDV","tokyo-2020",TRUE,516000,0,0,0,0,0,0,0,0,0
"118","Mali","MLI","tokyo-2020",TRUE,22389000,0,0,0,0,0,0,0,0,0
"119","Malta","MLT","tokyo-2020",TRUE,524000,0,0,0,0,0,0,0,0,0
"120","Marshall Islands","MHL","tokyo-2020",TRUE,41000,0,0,0,0,0,0,0,0,0
"121","Mauritania","MRT","tokyo-2020",TRUE,4735000,0,0,0,0,0,0,0,0,0
"122","Mauritius","MUS","tokyo-2020",TRUE,1280000,0,0,0,0,0,0,0,0,0
"123","Mexico","MEX","tokyo-2020",TRUE,127648000,1,0,0,0,0,3,4,4,4
"124","Federated States of Micronesia","FSM","tokyo-2020",TRUE,112000,0,0,0,0,0,0,0,0,0
"125","Moldova","MDA","tokyo-2020",TRUE,3024000,1,0,0,0,0,0,1,1,1
"126","Monaco","MCO","tokyo-2020",TRUE,39000,0,0,0,0,0,0,0,0,0
"127","Mongolia","MNG","tokyo-2020",TRUE,3340000,4,0,0,0,0,0,4,4,4
"128","Montenegro","MNE","tokyo-2020",TRUE,604000,0,0,0,0,0,0,0,0,0
"129","Morocco","MAR","tokyo-2020",TRUE,36954000,1,0,0,0,0,0,1,1,1
"130","Mozambique","MOZ","tokyo-2020",TRUE,31708000,0,0,0,0,0,0,0,0,0
"131","Myanmar","MMR","tokyo-2020",TRUE,53387000,0,0,0,0,0,0,0,0,0
"132","Namibia","NAM","tokyo-2020",TRUE,2811000,1,0,0,0,0,0,1,1,1
"133","Nauru","NRU","tokyo-2020",TRUE,12000,0,0,0,0,0,0,0,0,0
"134","Nepal","NPL","tokyo-2020",TRUE,29475000,0,0,0,0,0,0,0,0,0
"135","Netherlands","NLD","tokyo-2020",TRUE,17731000,17,3,1,0,0,10,27,36,31
"136","New Zealand","NZL","tokyo-2020",TRUE,5108000,9,1,0,0,0,9,18,20,19
"137","Nicaragua","NIC","tokyo-2020",TRUE,6645000,0,0,0,0,0,0,0,0,0
"138","Niger","NER","tokyo-2020",TRUE,24502000,0,0,0,0,0,0,0,0,0
"139","Nigeria","NGA","tokyo-2020",TRUE,218529000,2,0,0,0,0,0,2,2,2
"140","North Macedonia","MKD","tokyo-2020",TRUE,1851000,1,0,0,0,0,0,1,1,1
"141","Norway","NOR","tokyo-2020",TRUE,5408000,6,0,0,0,0,2,8,8,8
"142","Oman","OMN","tokyo-2020",TRUE,4500000,0,0,0,0,0,0,0,0,0
"143","Pakistan","PAK","tokyo-2020",TRUE,239478000,0,0,0,0,0,0,0,0,0
"144","Palau","PLW","tokyo-2020",TRUE,18000,0,0,0,0,0,0,0,0,0
"145","Palestine","PSE","tokyo-2020",TRUE,5185000,0,0,0,0,0,0,0,0,0
"146","Panama","PAN","tokyo-2020",TRUE,4345000,0,0,0,0,0,0,0,0,0
"147","Papua New Guinea","PNG","tokyo-2020",TRUE,10013000,0,0,0,0,0,0,0,0,0
"148","Paraguay","PRY","tokyo-2020",TRUE,6684000,0,0,0,0,0,0,0,0,0
"149","Peru","PER","tokyo-2020",TRUE,33156000,0,0,0,0,0,0,0,0,0
"150","Philippines","PHL","tokyo-2020",TRUE,113101000,4,0,0,0,0,0,4,4,4
"151","Poland","POL","tokyo-2020",TRUE,38040000,8,0,0,0,0,6,14,14,14
"152","Portugal","PRT","tokyo-2020",TRUE,10391000,4,0,0,0,0,0,4,4,4
"153","Puerto Rico","PRI","tokyo-2020",TRUE,3253000,1,0,0,0,0,0,1,1,1
"154","Qatar","QAT","tokyo-2020",TRUE,2815000,2,0,0,0,0,1,3,3,3
"155","Romania","ROU","tokyo-2020",TRUE,19248000,1,0,0,0,0,3,4,4,4
"156","Russia","RUS","tokyo-2020",TRUE,145836000,37,5,0,0,0,24,61,71,66
"157","Rwanda","RWA","tokyo-2020",TRUE,13355000,0,0,0,0,0,0,0,0,0
"158","Saint Kitts and Nevis","KNA","tokyo-2020",TRUE,47000,0,0,0,0,0,0,0,0,0
"159","Saint Lucia","LCA","tokyo-2020",TRUE,179000,0,0,0,0,0,0,0,0,0
"160","Saint Vincent and the Grenadines","VCT","tokyo-2020",TRUE,103000,0,0,0,0,0,0,0,0,0
"161","Samoa","WSM","tokyo-2020",TRUE,214000,0,0,0,0,0,0,0,0,0
"162","San Marino","SMR","tokyo-2020",TRUE,35000,2,0,0,0,0,1,3,3,3
"163","São Tomé and Príncipe","STP","tokyo-2020",TRUE,222000,0,0,0,0,0,0,0,0,0
"164","Saudi Arabia","SAU","tokyo-2020",TRUE,31328000,1,0,0,0,0,0,1,1,1
"165","Senegal","SEN","tokyo-2020",TRUE,17221000,0,0,0,0,0,0,0,0,0
"166","Serbia","SRB","tokyo-2020",TRUE,6835000,6,0,0,0,0,3,9,9,9
"167","Seychelles","SYC","tokyo-2020",TRUE,123000,0,0,0,0,0,0,0,0,0
"168","Sierra Leone","SLE","tokyo-2020",TRUE,8095000,0,0,0,0,0,0,0,0,0
"169","Singapore","SGP","tokyo-2020",TRUE,5546000,0,0,0,0,0,0,0,0,0
"170","Slovakia","SVK","tokyo-2020",TRUE,5443000,3,0,0,0,0,1,4,4,4
"171","Slovenia","SVN","tokyo-2020",TRUE,2113000,5,0,0,0,0,0,5,5,5
"172","Solomon Islands","SLB","tokyo-2020",TRUE,763000,0,0,0,0,0,0,0,0,0
"173","Somalia","SOM","tokyo-2020",TRUE,17271000,0,0,0,0,0,0,0,0,0
