"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"133","Nauru","NRU","london-2012",TRUE,10000,0,0,0,0,0,0,0,0,0
"134","Nepal","NPL","london-2012",TRUE,27535000,0,0,0,0,0,0,0,0,0
"135","Netherlands","NLD","london-2012",TRUE,16915000,11,1,0,0,0,7,18,20,19
"136","New Zealand","NZL","london-2012",TRUE,4412000,5,0,0,0,0,8,13,13,13
"137","Nicaragua","NIC","london-2012",TRUE,5901000,0,0,0,0,0,0,0,0,0
"138","Niger","NER","london-2012",TRUE,17837000,0,0,0,0,0,0,0,0,0
"139","Nigeria","NGA","london-2012",TRUE,176201000,0,0,0,0,0,0,0,0,0
"140","North Macedonia","MKD","london-2012",TRUE,2027000,0,0,0,0,0,0,0,0,0
"141","Norway","NOR","london-2012",TRUE,5018000,3,0,0,0,0,1,4,4,4
"142","Oman","OMN","london-2012",TRUE,3547000,0,0,0,0,0,0,0,0,0
"143","Pakistan","PAK","london-2012",TRUE,207667000,0,0,0,0,0,0,0,0,0
"144","Palau","PLW","london-2012",TRUE,18000,0,0,0,0,0,0,0,0,0
"145","Palestine","PSE","london-2012",TRUE,4215000,0,0,0,0,0,0,0,0,0
"146","Panama","PAN","london-2012",TRUE,3759000,0,0,0,0,0,0,0,0,0
"147","Papua New Guinea","PNG","london-2012",TRUE,8081000,0,0,0,0,0,0,0,0,0
"148","Paraguay","PRY","london-2012",TRUE,5897000,0,0,0,0,0,0,0,0,0
"149","Peru","PER","london-2012",TRUE,29550000,0,0,0,0,0,0,0,0,0
"150","Philippines","PHL","london-2012",TRUE,100176000,0,0,0,0,0,0,0,0,0
"151","Poland","POL","london-2012",TRUE,38248000,9,0,0,0,0,2,11,11,11
"152","Portugal","PRT","london-2012",TRUE,10513000,0,0,0,0,0,1,1,1,1
"153","Puerto Rico","PRI","london-2012",TRUE,3646000,2,0,0,0,0,0,2,2,2
"154","Qatar","QAT","london-2012",TRUE,1907000,2,0,0,0,0,0,2,2,2
"155","Romania","ROU","london-2012",TRUE,20158000,5,0,0,0,0,2,7,7,7
"156","Russia","RUS","london-2012",TRUE,144291000,47,2,1,0,0,13,60,67,63
"157","Rwanda","RWA","london-2012",TRUE,10830000,0,0,0,0,0,0,0,0,0
"158","Saint Kitts and Nevis","KNA","london-2012",TRUE,47000,0,0,0,0,0,0,0,0,0
"159","Saint Lucia","LCA","london-2012",TRUE,173000,0,0,0,0,0,0,0,0,0
"160","Saint Vincent and the Grenadines","VCT","london-2012",TRUE,109000,0,0,0,0,0,0,0,0,0
"161","Samoa","WSM","london-2012",TRUE,196000,0,0,0,0,0,0,0,0,0
"162","San Marino","SMR","london-2012",TRUE,33000,0,0,0,0,0,0,0,0,0
"163","São Tomé and Príncipe","STP","london-2012",TRUE,189000,0,0,0,0,0,0,0,0,0
"164","Saudi Arabia","SAU","london-2012",TRUE,27062000,0,0,0,0,0,1,1,1,1
"165","Senegal","SEN","london-2012",TRUE,13310000,0,0,0,0,0,0,0,0,0
"166","Serbia","SRB","london-2012",TRUE,7325000,3,0,0,0,0,1,4,4,4
"167","Seychelles","SYC","london-2012",TRUE,1e+05,0,0,0,0,0,0,0,0,0
"168","Sierra Leone","SLE","london-2012",TRUE,6551000,0,0,0,0,0,0,0,0,0
"169","Singapore","SGP","london-2012",TRUE,5293000,1,0,0,0,0,1,2,2,2
"170","Slovakia","SVK","london-2012",TRUE,5405000,3,0,0,0,0,1,4,4,4
"171","Slovenia","SVN","london-2012",TRUE,2053000,3,0,0,0,0,1,4,4,4
